listing_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month
179,Staten Island,Private room,404,7,296,295,2.3
180,Manhattan,Private room,360,3,213,10,4.94
181,Manhattan,Private room,381,7,266,163,7.85
182,Queens,Shared room,184,2,256,112,5.05
183,Manhattan,Entire home,366,6,301,186,2.08
184,Brooklyn,Shared room,256,3,100,294,5.07
185,Brooklyn,Shared room,340,3,109,231,4.32
186,Bronx,Private room,171,9,181,226,6.24
187,Staten Island,Shared room,331,7,312,309,0.86
188,Manhattan,Private room,109,5,0,97,6.09
189,Manhattan,Entire home,291,7,318,54,4.33
190,Queens,Private room,314,9,54,110,7.7
191,Brooklyn,Entire home,403,1,148,151,2.73
192,Staten Island,Private room,221,7,308,245,5.06
193,Bronx,Shared room,206,6,136,68,7.46
194,Brooklyn,Shared room,130,9,201,311,0.82
195,Bronx,Entire home,241,1,312,288,7.5
196,Queens,Entire home,385,4,116,249,5.5
197,Queens,Entire home,58,9,153,35,0.54
198,Manhattan,Private room,78,4,290,238,2.41
199,Staten Island,Private room,165,3,62,147,5.67
200,Bronx,Entire home,212,9,243,226,0.54
201,Brooklyn,Shared room,180,2,24,243,4.66
202,Queens,Private room,281,4,89,336,2.77
203,Manhattan,Private room,259,6,74,364,4.97
204,Manhattan,Private room,165,2,293,200,0.37
205,Bronx,Entire home,97,8,209,153,6.97
206,Queens,Entire home,187,8,16,72,7.79
207,Staten Island,Entire home,356,1,127,200,7.75
208,Queens,Entire home,422,3,250,295,6.0
209,Bronx,Entire home,400,9,178,16,1.04
210,Bronx,Shared room,40,5,181,128,6.07
211,Queens,Shared room,426,6,151,216,0.2
212,Bronx,Entire home,387,4,24,60,0.18
213,Queens,Private room,229,2,179,103,2.59
214,Brooklyn,Entire home,230,8,197,41,3.91
215,Queens,Shared room,408,6,160,24,6.16
216,Queens,Shared room,448,5,176,38,5.47
217,Bronx,Private room,351,9,284,290,3.57
218,Bronx,Shared room,156,1,62,130,2.19
219,Manhattan,Entire home,173,5,149,228,7.98
220,Manhattan,Private room,97,6,153,107,3.41
