trip_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_amount,tip_amount,passenger_count,payment_type
62,Airport,Midtown,7.24,51.0,32.78,7.51,1,cash
63,Brooklyn,Midtown,19.25,40.3,49.93,6.49,1,card
64,Downtown,Harlem,4.29,10.3,6.75,6.87,1,cash
65,Brooklyn,Brooklyn,13.85,34.8,53.07,3.13,3,card
66,Midtown,Brooklyn,6.16,36.5,73.58,5.53,2,card
67,Midtown,Midtown,1.29,15.8,51.33,5.55,2,cash
68,Airport,Downtown,6.79,66.5,70.65,0.79,2,card
69,Brooklyn,Harlem,24.42,60.2,59.57,11.51,2,card
70,Downtown,Brooklyn,20.24,48.5,14.92,6.25,1,cash
71,Downtown,Midtown,24.03,35.0,72.78,12.33,1,cash
72,Harlem,Brooklyn,12.71,31.8,10.92,12.76,4,cash
73,Downtown,Harlem,3.63,47.3,45.51,3.18,3,card
74,Airport,Harlem,14.15,40.5,16.52,9.86,3,card
75,Airport,Airport,11.91,9.0,6.87,7.08,2,cash
76,Downtown,Midtown,21.26,38.3,37.23,13.2,1,card
77,Downtown,Harlem,3.35,57.4,27.83,3.24,2,cash
78,Harlem,Airport,12.72,34.9,41.96,10.17,4,cash
79,Downtown,Airport,4.6,8.4,48.71,9.12,3,card
80,Harlem,Brooklyn,8.79,56.1,9.24,4.43,3,cash
81,Harlem,Brooklyn,18.7,18.1,15.1,2.05,2,card
82,Downtown,Airport,12.42,21.8,47.34,9.77,4,card
83,Midtown,Brooklyn,10.02,15.7,31.39,11.08,3,cash
84,Midtown,Harlem,10.47,26.5,59.96,4.73,4,card
85,Harlem,Downtown,12.03,54.2,54.27,9.67,4,cash
86,Downtown,Harlem,19.84,38.8,68.57,5.93,2,card
87,Midtown,Airport,22.41,18.3,57.24,10.7,1,card
88,Downtown,Airport,23.93,62.1,37.81,2.99,2,card
89,Downtown,Harlem,19.89,62.2,55.8,13.35,1,cash
90,Downtown,Brooklyn,8.57,61.6,26.38,4.31,4,card
91,Brooklyn,Brooklyn,17.52,20.5,28.67,5.52,1,cash
92,Downtown,Airport,11.5,34.3,64.38,0.87,4,card
93,Brooklyn,Midtown,7.11,69.0,39.04,1.67,3,card
94,Harlem,Brooklyn,21.18,55.2,65.08,7.74,3,cash
95,Midtown,Harlem,1.92,6.8,66.86,4.01,3,cash
96,Midtown,Brooklyn,22.64,9.2,69.46,12.53,2,cash
97,Midtown,Harlem,12.08,35.2,73.83,0.22,2,cash
98,Midtown,Airport,16.29,64.1,37.89,5.69,4,cash
99,Midtown,Brooklyn,16.82,40.0,29.6,5.06,3,card
100,Midtown,Harlem,22.48,37.4,49.08,0.29,2,card
101,Midtown,Airport,16.28,11.9,33.47,1.87,3,cash
102,Harlem,Midtown,15.73,47.7,50.48,6.2,2,card
103,Downtown,Harlem,2.6,58.4,58.21,7.39,1,card
104,Airport,Midtown,13.44,29.7,56.94,6.06,1,card
105,Brooklyn,Midtown,4.6,55.4,33.72,7.96,3,cash
106,Airport,Downtown,18.7,67.7,18.35,8.93,4,card
107,Airport,Brooklyn,13.29,18.2,37.86,0.15,2,card
108,Downtown,Harlem,17.33,39.0,16.55,6.96,2,card
109,Downtown,Midtown,2.0,23.7,71.87,14.45,1,cash
110,Downtown,Downtown,3.04,56.5,31.59,7.79,1,card
111,Midtown,Airport,18.19,42.5,17.43,10.16,4,card
112,Harlem,Harlem,2.73,46.2,7.88,4.68,4,cash
113,Midtown,Midtown,2.71,56.9,53.79,11.61,4,cash
114,Harlem,Brooklyn,1.29,30.7,53.13,11.59,3,card
115,Harlem,Downtown,23.96,64.5,31.2,7.82,1,card
116,Airport,Midtown,18.7,39.6,11.31,14.64,3,cash
117,Airport,Brooklyn,9.48,15.3,36.31,1.88,1,cash
118,Harlem,Midtown,8.12,50.2,29.03,0.25,1,cash
119,Harlem,Harlem,9.39,56.6,56.11,11.55,2,cash
120,Midtown,Harlem,19.59,25.6,50.83,12.11,1,cash
121,Midtown,Harlem,16.87,60.7,32.98,1.8,1,cash
122,Airport,Downtown,5.44,63.9,22.12,3.98,3,cash
123,Downtown,Harlem,5.18,23.0,79.11,0.26,1,card
124,Harlem,Brooklyn,3.36,68.9,39.6,4.4,3,cash
125,Midtown,Midtown,16.85,14.1,56.93,11.6,4,cash
126,Airport,Airport,19.34,18.1,16.4,7.77,1,card
127,Midtown,Brooklyn,7.36,17.0,41.93,5.22,1,cash
128,Harlem,Brooklyn,1.5,63.1,8.04,5.58,3,cash
129,Harlem,Harlem,2.97,47.5,43.4,0.02,4,card
130,Brooklyn,Downtown,24.23,14.9,77.34,4.5,2,cash
131,Downtown,Midtown,8.09,33.6,34.43,9.7,4,card
132,Brooklyn,Downtown,19.46,45.0,8.89,14.61,3,card
133,Airport,Midtown,15.99,10.4,8.29,12.71,4,card
134,Midtown,Midtown,10.17,62.4,34.71,0.35,3,card
135,Airport,Downtown,5.94,57.2,17.84,13.48,3,cash
136,Harlem,Brooklyn,3.91,37.8,7.73,11.75,2,card
137,Brooklyn,Midtown,15.76,67.9,61.96,11.71,1,card
138,Brooklyn,Downtown,19.59,32.2,39.93,6.87,3,cash
139,Brooklyn,Midtown,16.45,69.0,27.4,5.97,3,card
140,Airport,Airport,13.73,48.4,72.61,4.54,2,card
141,Harlem,Brooklyn,2.01,46.3,14.59,0.99,3,card
142,Midtown,Harlem,24.24,15.8,76.74,3.42,1,card
143,Midtown,Midtown,20.17,62.3,29.23,3.7,2,cash
144,Airport,Airport,8.03,32.8,71.74,7.26,1,card
145,Brooklyn,Harlem,24.52,15.5,50.62,11.21,1,cash
146,Downtown,Harlem,15.45,5.8,67.18,7.11,2,cash
147,Airport,Midtown,14.98,41.4,78.82,0.87,3,card
148,Airport,Downtown,18.95,39.3,27.34,14.37,1,card
149,Harlem,Midtown,20.48,51.8,77.12,14.14,1,card
150,Midtown,Airport,16.76,62.9,34.82,11.78,1,card
151,Airport,Harlem,4.07,10.2,34.53,14.87,1,cash
152,Airport,Midtown,9.12,52.5,31.19,8.17,2,cash
153,Brooklyn,Downtown,23.27,17.2,200.0,14.44,2,cash
154,Brooklyn,Midtown,6.39,60.8,17.41,1.13,4,card
155,Downtown,Brooklyn,9.93,58.2,46.97,5.49,4,cash
156,Harlem,Downtown,11.37,40.2,46.09,3.38,1,card
157,Downtown,Airport,11.55,51.2,62.38,2.94,3,card
158,Brooklyn,Harlem,15.71,25.4,67.69,2.11,1,card
159,Midtown,Midtown,23.63,35.6,38.59,9.34,3,card
160,Brooklyn,Downtown,6.78,58.4,28.37,11.72,1,card
161,Harlem,Brooklyn,3.92,34.9,25.19,8.67,4,cash
162,Brooklyn,Downtown,5.74,28.3,20.4,2.2,4,cash
163,Harlem,Brooklyn,22.29,37.1,10.27,12.17,3,card
164,Harlem,Airport,16.5,58.8,31.34,9.54,1,cash
165,Harlem,Harlem,7.86,26.8,26.0,5.82,3,card
166,Harlem,Airport,20.58,16.3,77.51,10.11,4,card
167,Harlem,Midtown,21.67,51.3,47.27,3.9,1,card
168,Midtown,Downtown,21.32,58.7,31.7,5.18,1,cash
169,Downtown,Brooklyn,23.05,11.5,48.95,13.76,3,card
170,Airport,Brooklyn,7.05,20.6,16.3,4.36,2,card
171,Downtown,Downtown,19.12,14.2,38.86,7.05,3,cash
172,Harlem,Downtown,12.05,27.6,52.34,13.35,4,cash
173,Midtown,Midtown,21.21,34.3,42.18,10.62,4,cash
174,Brooklyn,Airport,18.48,53.7,35.73,0.93,4,card
175,Midtown,Brooklyn,19.63,47.3,79.54,2.21,4,card
176,Harlem,Midtown,16.75,45.4,71.14,0.12,4,cash
177,Midtown,Airport,5.26,27.9,52.13,9.46,2,card
178,Midtown,Midtown,14.08,59.7,48.13,6.72,1,cash
179,Harlem,Brooklyn,24.63,35.6,51.93,2.01,3,cash
180,Midtown,Downtown,23.5,68.6,20.9,14.37,3,card
181,Airport,Downtown,2.04,46.2,35.24,7.94,4,card
182,Airport,Airport,4.96,13.2,8.92,3.63,3,cash
183,Midtown,Harlem,4.16,49.0,41.19,7.51,4,cash
184,Brooklyn,Airport,18.42,26.1,46.18,10.19,2,cash
185,Harlem,Harlem,20.63,49.6,22.85,1.14,2,cash
186,Airport,Midtown,6.12,9.5,77.34,4.12,1,card
187,Brooklyn,Midtown,13.14,16.4,73.3,12.1,2,cash
188,Midtown,Brooklyn,21.18,60.6,59.44,6.89,2,cash
189,Brooklyn,Harlem,18.59,19.8,45.47,8.2,1,cash
190,Downtown,Brooklyn,14.01,59.4,70.38,6.49,3,card
191,Airport,Downtown,15.17,23.2,15.67,0.66,4,card
192,Midtown,Harlem,13.2,46.8,64.5,2.49,4,cash
193,Harlem,Airport,8.14,50.1,15.24,6.68,3,card
194,Midtown,Downtown,14.56,38.3,64.77,3.14,1,card
195,Harlem,Downtown,17.53,24.8,26.41,0.75,3,card
196,Midtown,Airport,21.96,18.8,70.9,12.65,2,cash
197,Brooklyn,Downtown,16.27,7.2,75.86,14.72,1,cash
198,Brooklyn,Harlem,19.27,24.8,17.01,11.9,1,card
199,Brooklyn,Brooklyn,4.84,47.5,40.24,12.81,1,cash
200,Downtown,Downtown,12.08,66.0,78.59,3.63,4,cash
201,Harlem,Harlem,1.22,61.6,41.77,14.41,3,card
202,Brooklyn,Midtown,6.92,54.8,69.9,2.95,1,card
203,Downtown,Harlem,18.44,56.2,49.57,14.27,1,cash
204,Harlem,Brooklyn,24.8,48.2,33.77,14.92,1,card
205,Midtown,Harlem,3.38,21.9,27.15,10.68,3,cash
206,Downtown,Airport,10.64,64.0,21.04,14.72,4,cash
207,Airport,Brooklyn,20.2,48.6,62.37,8.54,2,card
208,Downtown,Midtown,5.9,41.4,34.6,3.89,4,cash
209,Downtown,Airport,14.32,12.2,43.83,6.55,1,cash
210,Harlem,Harlem,18.59,34.1,42.43,8.9,4,card
211,Midtown,Brooklyn,15.78,34.9,48.72,1.1,4,card
212,Airport,Midtown,5.51,61.2,70.05,9.34,2,card
213,Brooklyn,Airport,9.53,40.5,78.57,14.72,3,cash
214,Brooklyn,Midtown,19.81,29.7,36.16,2.85,3,card
215,Downtown,Harlem,14.3,68.5,67.24,11.89,4,card
216,Harlem,Midtown,1.13,12.2,62.58,13.62,4,card
217,Harlem,Downtown,19.26,32.5,48.44,14.16,3,card
218,Brooklyn,Airport,1.85,7.7,76.75,14.4,3,cash
219,Airport,Midtown,18.9,53.1,20.84,7.82,2,cash
220,Midtown,Harlem,5.86,64.7,14.09,14.66,1,card
221,Airport,Harlem,23.99,23.2,69.19,11.36,4,cash
222,Midtown,Midtown,9.83,60.8,38.5,2.43,3,card
223,Brooklyn,Harlem,8.85,24.0,68.68,7.15,4,card
224,Midtown,Brooklyn,4.57,64.2,72.09,10.77,4,cash
225,Harlem,Brooklyn,8.33,54.0,10.62,3.71,3,cash
226,Downtown,Brooklyn,22.04,57.3,71.38,9.61,2,card
227,Downtown,Downtown,24.91,6.2,39.18,10.0,4,card
228,Brooklyn,Midtown,9.84,67.6,43.77,2.44,2,cash
229,Harlem,Downtown,11.77,52.2,52.37,8.48,3,card
230,Airport,Harlem,18.33,24.8,74.55,11.57,1,cash
231,Harlem,Downtown,22.27,58.9,7.41,7.48,1,card
232,Downtown,Harlem,15.23,23.3,41.29,0.18,4,card
233,Downtown,Harlem,10.4,61.7,56.89,0.14,3,cash
234,Harlem,Airport,10.9,12.3,59.48,5.36,2,cash
235,Harlem,Brooklyn,17.69,50.7,57.25,13.89,4,cash
236,Downtown,Harlem,1.08,40.1,15.95,3.43,3,cash
237,Airport,Airport,15.87,11.3,28.16,9.52,3,cash
238,Brooklyn,Brooklyn,9.53,20.7,32.54,3.33,2,cash
239,Brooklyn,Harlem,20.06,5.8,65.53,4.83,4,cash
240,Harlem,Harlem,3.23,35.5,26.63,12.72,3,card
241,Brooklyn,Downtown,15.12,24.6,21.59,10.93,3,card
242,Downtown,Downtown,12.54,43.9,76.85,1.43,3,card
243,Downtown,Brooklyn,16.42,24.3,6.66,6.43,2,cash
244,Harlem,Harlem,2.56,24.5,79.84,0.44,4,cash
245,Harlem,Midtown,14.92,53.3,56.08,7.21,4,cash
246,Harlem,Downtown,14.48,8.1,67.31,9.94,4,card
247,Airport,Brooklyn,14.46,63.7,27.8,1.78,4,cash
248,Brooklyn,Harlem,15.48,60.4,7.06,4.33,1,cash
249,Harlem,Harlem,17.24,48.4,60.6,5.97,1,card
250,Midtown,Midtown,20.32,43.6,67.73,13.79,4,cash
251,Midtown,Brooklyn,7.48,63.0,60.8,14.9,2,card
252,Downtown,Harlem,20.8,17.0,16.57,0.67,1,card
253,Brooklyn,Downtown,12.96,10.1,61.75,11.42,3,cash
254,Harlem,Midtown,2.85,20.6,62.9,5.58,1,cash
255,Midtown,Brooklyn,2.41,56.6,54.73,5.89,3,cash
256,Brooklyn,Midtown,9.02,7.3,62.69,11.31,4,card
257,Downtown,Downtown,19.84,42.9,68.6,13.78,1,card
258,Airport,Brooklyn,17.98,69.7,51.41,14.26,2,card
259,Brooklyn,Midtown,19.93,60.6,12.56,8.66,1,cash
260,Brooklyn,Airport,13.41,38.9,42.08,5.36,1,cash
261,Airport,Downtown,11.56,9.1,11.75,11.81,1,cash
262,Brooklyn,Downtown,4.54,59.0,36.16,3.77,4,cash
263,Downtown,Downtown,8.88,43.9,36.13,8.46,2,card
264,Downtown,Airport,11.42,12.5,10.88,5.38,1,card
265,Airport,Airport,3.13,11.1,31.81,9.85,2,card
266,Harlem,Harlem,6.29,64.1,14.21,3.61,4,card
267,Midtown,Midtown,15.36,48.5,65.81,2.87,3,cash
268,Harlem,Harlem,18.66,58.9,76.13,13.77,1,cash
269,Brooklyn,Midtown,24.96,62.1,11.35,1.53,2,cash
270,Midtown,Airport,23.39,42.2,76.68,7.59,2,card
271,Airport,Airport,16.42,38.6,44.67,3.31,4,card
272,Airport,Harlem,11.11,33.0,28.17,0.58,1,cash
273,Midtown,Brooklyn,16.27,25.6,11.69,0.54,3,cash
274,Downtown,Harlem,19.86,33.2,43.05,2.63,2,card
275,Midtown,Midtown,3.84,55.3,64.79,13.0,1,cash
276,Brooklyn,Harlem,10.84,44.1,58.32,4.24,3,card
277,Downtown,Downtown,21.16,63.0,120.0,14.26,2,card
278,Airport,Midtown,10.21,33.8,11.39,8.72,2,card
279,Midtown,Midtown,14.72,44.5,35.81,6.55,3,cash
280,Harlem,Brooklyn,15.11,46.0,27.85,8.7,3,cash
281,Harlem,Airport,5.43,43.5,23.2,7.75,4,card
282,Brooklyn,Midtown,9.69,50.7,26.79,11.38,1,cash
283,Harlem,Airport,9.03,20.4,65.46,4.24,1,card
284,Midtown,Harlem,1.63,38.3,74.76,5.3,4,card
285,Midtown,Downtown,1.58,11.8,35.98,13.41,2,card
286,Harlem,Brooklyn,20.96,30.0,73.05,14.2,3,card
287,Midtown,Airport,7.55,36.7,29.79,13.39,3,cash
288,Brooklyn,Midtown,13.43,47.4,41.26,6.29,3,card
289,Downtown,Airport,8.17,66.8,22.73,11.71,2,card
290,Brooklyn,Midtown,23.58,44.0,53.4,7.15,3,cash
291,Brooklyn,Airport,7.22,53.3,78.44,7.46,3,card
292,Midtown,Midtown,11.31,37.9,50.66,3.07,4,card
293,Downtown,Harlem,21.95,46.2,32.48,8.87,2,cash
294,Midtown,Midtown,21.21,9.6,53.94,2.79,1,cash
295,Airport,Midtown,5.47,21.5,15.1,4.97,4,cash
296,Midtown,Downtown,20.26,28.5,71.76,12.83,4,card
297,Midtown,Midtown,12.0,35.7,43.23,3.11,1,cash
298,Midtown,Downtown,12.59,8.0,39.25,1.07,4,cash
299,Downtown,Brooklyn,4.2,14.1,49.35,1.04,2,card
300,Midtown,Downtown,2.93,23.0,52.23,14.11,3,card
