invoice_id,city,product_category,unit_price,quantity,customer_type,payment,total
40,Abidjan,Beverage,58.5,13,Member,Card,760.5
41,Dakar,Cosmetics,100.75,1,Member,Card,100.75
42,Dakar,Beverage,44.01,6,Member,Card,264.06
43,Lagos,Cosmetics,103.32,1,Normal,Card,103.32
44,Dakar,Electronics,49.41,14,Member,Card,691.74
45,Lagos,Food,40.06,13,Normal,Cash,520.78
46,Dakar,Beverage,55.02,6,Normal,Card,330.12
47,Nairobi,Beverage,91.73,3,Normal,Card,275.19
48,Abidjan,Beverage,15.99,14,Member,Mobile,223.86
49,Nairobi,Cosmetics,24.37,14,Normal,Cash,341.18
50,Lagos,Electronics,114.22,8,Member,Cash,913.76
51,Nairobi,Beverage,21.88,13,Member,Cash,284.44
52,Lagos,Beverage,68.56,6,Member,Cash,411.36
53,Dakar,Food,69.94,13,Member,Card,909.22
54,Dakar,Food,59.27,11,Member,Card,651.97
55,Lagos,Electronics,77.72,13,Normal,Mobile,1010.36
56,Nairobi,Electronics,28.35,1,Normal,Mobile,28.35
57,Dakar,Clothing,66.77,5,Member,Cash,333.85
58,Abidjan,Food,45.29,8,Normal,Mobile,362.32
59,Dakar,Clothing,79.74,3,Member,Mobile,239.22
60,Abidjan,Cosmetics,17.81,12,Normal,Cash,213.72
61,Nairobi,Clothing,68.93,6,Normal,Cash,413.58
62,Abidjan,Beverage,23.05,5,Normal,Mobile,115.25
63,Abidjan,Clothing,34.16,6,Normal,Card,204.96
64,Abidjan,Electronics,27.03,10,Normal,Mobile,1100.0
65,Abidjan,Cosmetics,22.76,1,Member,Mobile,22.76
66,Dakar,Beverage,99.26,7,Member,Card,694.82
67,Abidjan,Clothing,35.0,9,Normal,Card,315.0
68,Dakar,Cosmetics,111.33,2,Member,Cash,222.66
69,Abidjan,Cosmetics,116.42,10,Normal,Cash,1164.2
70,Lagos,Beverage,68.98,5,Member,Mobile,344.9
71,Nairobi,Clothing,18.02,10,Normal,Card,180.2
72,Abidjan,Cosmetics,45.57,4,Normal,Cash,182.28
73,Lagos,Cosmetics,95.93,6,Normal,Mobile,575.58
74,Abidjan,Food,44.72,6,Member,Card,268.32
75,Abidjan,Cosmetics,11.36,11,Member,Mobile,124.96
76,Abidjan,Food,67.26,2,Normal,Cash,134.52
77,Lagos,Clothing,101.57,2,Normal,Cash,203.14
78,Nairobi,Clothing,95.72,4,Member,Card,382.88
79,Lagos,Clothing,21.84,1,Member,Mobile,21.84
80,Nairobi,Electronics,81.06,9,Member,Card,729.54
81,Abidjan,Clothing,27.24,14,Member,Cash,381.36
82,Dakar,Cosmetics,26.97,14,Member,Cash,377.58
83,Abidjan,Beverage,105.01,13,Normal,Mobile,1365.13
84,Nairobi,Food,30.71,7,Member,Mobile,214.97
85,Lagos,Electronics,32.33,12,Normal,Mobile,387.96
86,Abidjan,Clothing,1.08,7,Normal,Card,7.56
87,Lagos,Clothing,104.61,3,Member,Mobile,313.83
88,Lagos,Beverage,95.32,11,Member,Mobile,1048.52
89,Lagos,Beverage,75.65,12,Normal,Cash,907.8
90,Abidjan,Electronics,90.28,3,Member,Cash,270.84
91,Lagos,Food,19.09,1,Normal,Mobile,19.09
92,Lagos,Clothing,55.54,3,Member,Mobile,166.62
93,Abidjan,Electronics,42.8,3,Member,Cash,128.4
94,Lagos,Cosmetics,12.16,4,Member,Mobile,48.64
95,Abidjan,Cosmetics,58.85,4,Normal,Card,235.4
96,Nairobi,Electronics,110.57,3,Member,Card,331.71
97,Nairobi,Clothing,5.77,10,Normal,Card,57.7
98,Nairobi,Electronics,35.68,12,Member,Mobile,428.16
99,Lagos,Clothing,25.7,8,Normal,Cash,205.6
100,Dakar,Beverage,29.34,8,Member,Mobile,234.72
101,Dakar,Electronics,109.1,13,Normal,Mobile,1418.3
102,Lagos,Clothing,56.7,13,Normal,Cash,737.1
103,Dakar,Electronics,56.49,1,Normal,Cash,56.49
104,Abidjan,Electronics,91.51,7,Normal,Cash,640.57
105,Dakar,Clothing,19.38,11,Normal,Card,213.18
106,Lagos,Clothing,58.98,2,Normal,Mobile,117.96
107,Lagos,Food,52.17,1,Member,Cash,52.17
108,Abidjan,Electronics,72.03,3,Normal,Mobile,216.09
109,Nairobi,Cosmetics,119.95,4,Normal,Card,479.8
110,Lagos,Electronics,92.56,13,Normal,Card,1203.28
111,Abidjan,Electronics,48.35,6,Member,Cash,290.1
112,Dakar,Clothing,99.48,10,Member,Cash,994.8
113,Dakar,Electronics,21.31,14,Member,Mobile,298.34
114,Abidjan,Electronics,4.63,5,Normal,Cash,23.15
115,Abidjan,Cosmetics,25.33,14,Member,Mobile,354.62
116,Lagos,Clothing,41.51,4,Member,Cash,166.04
117,Dakar,Electronics,61.76,8,Normal,Mobile,494.08
118,Abidjan,Beverage,74.2,11,Normal,Mobile,816.2
119,Dakar,Food,109.36,12,Member,Mobile,1312.32
120,Abidjan,Cosmetics,61.67,14,Normal,Mobile,863.38
121,Dakar,Electronics,60.65,4,Normal,Card,242.6
122,Nairobi,Beverage,6.98,13,Normal,Mobile,90.74
123,Lagos,Electronics,5.15,10,Normal,Cash,51.5
124,Dakar,Electronics,66.59,12,Member,Card,799.08
125,Nairobi,Clothing,53.14,13,Normal,Card,690.82
126,Dakar,Clothing,100.86,2,Member,Mobile,201.72
127,Dakar,Clothing,20.12,3,Member,Card,60.36
128,Nairobi,Beverage,3.97,6,Member,Mobile,23.82
129,Dakar,Electronics,54.44,8,Member,Cash,435.52
130,Dakar,Food,29.26,8,Normal,Mobile,234.08
131,Lagos,Cosmetics,6.9,11,Normal,Card,75.9
132,Nairobi,Clothing,87.23,9,Normal,Cash,785.07
133,Nairobi,Clothing,14.28,7,Member,Mobile,99.96
134,Abidjan,Electronics,73.39,13,Member,Cash,954.07
135,Dakar,Electronics,34.44,2,Member,Cash,68.88
136,Lagos,Beverage,21.65,8,Normal,Card,173.2
137,Dakar,Beverage,46.19,7,Member,Cash,323.33
138,Dakar,Clothing,96.37,8,Normal,Card,770.96
139,Abidjan,Electronics,47.66,12,Normal,Cash,571.92
140,Dakar,Food,90.34,3,Normal,Mobile,271.02
141,Lagos,Cosmetics,15.93,7,Normal,Cash,111.51
142,Lagos,Electronics,92.96,10,Member,Mobile,929.6
143,Abidjan,Electronics,29.2,13,Normal,Mobile,379.6
144,Dakar,Beverage,81.61,9,Member,Cash,734.49
145,Lagos,Cosmetics,68.33,3,Normal,Mobile,204.99
146,Dakar,Clothing,111.57,14,Member,Cash,1561.98
147,Dakar,Electronics,47.09,10,Member,Cash,470.9
148,Dakar,Clothing,8.87,6,Normal,Mobile,53.22
149,Abidjan,Electronics,3.28,2,Normal,Mobile,6.56
150,Dakar,Clothing,99.4,2,Normal,Card,198.8
151,Lagos,Cosmetics,63.44,5,Member,Mobile,317.2
152,Dakar,Beverage,93.25,5,Normal,Card,466.25
153,Lagos,Cosmetics,28.9,13,Normal,Mobile,375.7
154,Dakar,Food,42.06,7,Member,Cash,294.42
155,Lagos,Beverage,4.58,12,Normal,Mobile,54.96
156,Lagos,Cosmetics,115.42,2,Member,Cash,230.84
157,Dakar,Food,80.48,11,Normal,Cash,885.28
158,Dakar,Electronics,112.05,14,Member,Cash,1568.7
159,Lagos,Electronics,32.59,13,Member,Card,423.67
160,Nairobi,Clothing,73.76,7,Normal,Mobile,516.32
161,Abidjan,Beverage,81.74,5,Member,Cash,408.7
162,Nairobi,Electronics,38.79,14,Normal,Cash,543.06
163,Nairobi,Beverage,101.92,6,Normal,Card,611.52
164,Dakar,Electronics,113.71,8,Member,Mobile,909.68
165,Abidjan,Clothing,106.3,10,Normal,Mobile,1063.0
166,Nairobi,Cosmetics,88.95,13,Member,Card,1156.35
167,Dakar,Clothing,34.02,14,Member,Card,476.28
168,Nairobi,Food,34.51,12,Member,Mobile,414.12
169,Nairobi,Electronics,115.64,4,Member,Card,462.56
170,Dakar,Food,2.22,13,Member,Mobile,28.86
171,Dakar,Food,86.21,7,Member,Mobile,603.47
172,Dakar,Beverage,85.04,6,Member,Cash,510.24
173,Abidjan,Electronics,75.1,10,Member,Cash,751.0
174,Nairobi,Food,118.82,2,Normal,Mobile,237.64
175,Dakar,Cosmetics,38.11,8,Normal,Mobile,304.88
176,Lagos,Food,41.46,10,Member,Mobile,414.6
177,Nairobi,Cosmetics,10.39,9,Normal,Mobile,93.51
178,Lagos,Beverage,53.69,5,Normal,Mobile,268.45
179,Abidjan,Food,32.06,10,Normal,Mobile,320.6
180,Dakar,Clothing,41.86,4,Normal,Card,167.44
181,Lagos,Beverage,100.31,6,Normal,Mobile,900.0
182,Abidjan,Cosmetics,112.32,8,Normal,Card,898.56
183,Dakar,Beverage,23.1,11,Member,Card,254.1
184,Lagos,Food,45.33,3,Normal,Mobile,135.99
185,Lagos,Electronics,111.51,10,Normal,Mobile,1115.1
186,Abidjan,Electronics,8.36,11,Normal,Card,91.96
187,Dakar,Cosmetics,11.99,11,Normal,Card,131.89
188,Dakar,Cosmetics,20.37,1,Member,Mobile,20.37
189,Lagos,Electronics,71.83,4,Member,Mobile,287.32
190,Lagos,Cosmetics,18.91,4,Member,Card,75.64
191,Lagos,Beverage,116.2,1,Member,Card,116.2
192,Dakar,Clothing,54.16,9,Normal,Card,487.44
193,Abidjan,Clothing,60.68,3,Member,Cash,182.04
194,Abidjan,Beverage,30.35,5,Member,Card,151.75
195,Dakar,Clothing,57.04,6,Member,Cash,342.24
196,Nairobi,Food,79.77,8,Member,Mobile,638.16
197,Abidjan,Beverage,90.39,6,Normal,Mobile,542.34
198,Lagos,Cosmetics,90.71,3,Member,Card,272.13
199,Nairobi,Beverage,69.77,6,Normal,Mobile,418.62
200,Nairobi,Electronics,108.62,1,Member,Mobile,108.62
201,Abidjan,Cosmetics,98.27,4,Normal,Mobile,393.08
202,Nairobi,Electronics,91.09,6,Normal,Mobile,546.54
203,Nairobi,Cosmetics,7.62,7,Member,Cash,53.34
204,Abidjan,Clothing,1.82,11,Member,Cash,20.02
205,Abidjan,Beverage,26.28,13,Member,Card,341.64
206,Nairobi,Food,79.96,11,Member,Card,879.56
207,Lagos,Cosmetics,49.93,10,Normal,Card,499.3
208,Dakar,Cosmetics,48.89,3,Normal,Mobile,146.67
209,Nairobi,Electronics,106.27,9,Member,Mobile,956.43
210,Nairobi,Clothing,107.57,12,Member,Cash,1290.84
211,Lagos,Electronics,109.19,12,Normal,Cash,1310.28
212,Nairobi,Electronics,38.35,7,Member,Card,268.45
213,Nairobi,Clothing,83.24,14,Normal,Cash,1165.36
214,Dakar,Food,33.32,1,Member,Cash,33.32
215,Dakar,Electronics,23.68,2,Normal,Cash,47.36
216,Dakar,Electronics,22.97,1,Normal,Cash,22.97
217,Abidjan,Cosmetics,41.71,11,Normal,Cash,458.81
218,Abidjan,Clothing,52.16,9,Normal,Card,469.44
219,Dakar,Beverage,99.88,9,Normal,Card,898.92
220,Dakar,Food,15.27,7,Member,Cash,106.89
221,Abidjan,Food,88.46,10,Normal,Card,884.6
222,Lagos,Clothing,64.24,3,Member,Mobile,192.72
223,Nairobi,Cosmetics,35.27,13,Normal,Cash,458.51
224,Nairobi,Cosmetics,59.65,5,Normal,Mobile,298.25
225,Dakar,Clothing,36.69,4,Member,Card,146.76
226,Lagos,Cosmetics,71.93,7,Member,Card,503.51
227,Abidjan,Food,52.63,14,Member,Mobile,736.82
228,Dakar,Food,20.56,9,Member,Card,185.04
229,Lagos,Beverage,14.87,12,Normal,Cash,178.44
230,Lagos,Clothing,66.06,2,Member,Mobile,132.12
231,Lagos,Electronics,108.39,13,Normal,Cash,1409.07
232,Abidjan,Electronics,41.93,8,Member,Mobile,335.44
233,Abidjan,Beverage,88.23,9,Member,Card,794.07
234,Nairobi,Beverage,79.38,10,Normal,Mobile,793.8
235,Nairobi,Cosmetics,111.86,14,Normal,Mobile,1566.04
236,Lagos,Beverage,98.7,10,Member,Cash,987.0
237,Lagos,Beverage,68.43,9,Normal,Card,615.87
238,Abidjan,Electronics,79.19,14,Normal,Cash,1108.66
239,Nairobi,Cosmetics,107.91,10,Normal,Card,1079.1
240,Lagos,Beverage,48.54,14,Normal,Cash,679.56
241,Nairobi,Beverage,39.89,7,Normal,Mobile,279.23
242,Nairobi,Cosmetics,2.29,9,Normal,Cash,20.61
243,Lagos,Clothing,99.36,9,Normal,Card,894.24
244,Abidjan,Cosmetics,96.32,14,Normal,Card,1348.48
245,Lagos,Electronics,13.43,3,Member,Mobile,40.29
246,Lagos,Clothing,69.65,4,Normal,Card,1300.0
247,Nairobi,Food,56.21,2,Member,Cash,112.42
248,Lagos,Cosmetics,15.13,10,Normal,Mobile,151.3
249,Abidjan,Electronics,117.69,3,Normal,Card,353.07
250,Lagos,Clothing,26.55,11,Normal,Card,292.05
251,Abidjan,Cosmetics,9.0,11,Normal,Cash,99.0
252,Abidjan,Beverage,71.79,5,Member,Cash,358.95
253,Nairobi,Cosmetics,88.93,5,Member,Mobile,444.65
254,Dakar,Food,4.86,6,Normal,Card,29.16
255,Dakar,Cosmetics,79.39,13,Member,Cash,1032.07
256,Nairobi,Clothing,64.34,7,Normal,Mobile,450.38
257,Lagos,Clothing,13.29,7,Normal,Card,93.03
258,Nairobi,Cosmetics,21.53,1,Member,Card,21.53
259,Abidjan,Clothing,68.59,14,Member,Mobile,960.26
260,Dakar,Beverage,36.27,2,Normal,Mobile,72.54
